#{"solver": {"engine": {"type": "ExactEngine"}, "semiring": "GraphSemiring"}, "networks": [{"name": "mnist_net", "module": "MNIST_Net(\n  (softmax): Softmax(dim=1)\n  (encoder): Sequential(\n    (0): Conv2d(1, 6, kernel_size=(5, 5), stride=(1, 1))\n    (1): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)\n    (2): ReLU(inplace=True)\n    (3): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))\n    (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)\n    (5): ReLU(inplace=True)\n  )\n  (classifier): Sequential(\n    (0): Linear(in_features=256, out_features=120, bias=True)\n    (1): ReLU()\n    (2): Linear(in_features=120, out_features=84, bias=True)\n    (3): ReLU()\n    (4): Linear(in_features=84, out_features=10, bias=True)\n  )\n)", "optimizer": "Adam (\nParameter Group 0\n    amsgrad: False\n    betas: (0.9, 0.999)\n    capturable: False\n    differentiable: False\n    eps: 1e-08\n    foreach: None\n    fused: None\n    lr: 0.001\n    maximize: False\n    weight_decay: 0\n)", "k": null}], "program": "nn(mnist_net,[X],Y,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9])::digit(X,Y).\nnumber([],Result,Result).\nnumber([H | T],Acc,Result) :- digit(H,Nr), Acc2 is Nr+10*Acc, number(T,Acc2,Result).\nnumber(X,Y) :- number(X,0,Y).\nmulti_addition(X,Y,Z) :- number(X,X2), number(Y,Y2), Z is X2+Y2.\naddition(X,Y,Z) :- digit(X,X2), digit(Y,Y2), Z is X2+Y2.\n"}
#Accuracy 0.9224
i,time,loss,ground_time,compile_time,eval_time,total_iter_time
5600,318.85207080841064,0.2354538652929882,0.4488195252418518,0.021550289392471313,0.015539838075637817,0.48590965270996095
5700,322.4230320453644,0.3150881505102188,0.4433803117275238,0.021669349670410155,0.015778137445449827,0.4808277988433838
5800,326.03882217407227,0.44758309173332234,0.44208162307739257,0.02142168879508972,0.015928272008895874,0.4794315838813782
5900,329.70637583732605,0.30693132157397485,0.430386860370636,0.021811832189559937,0.01599079489707947,0.4681894874572754
6000,333.95192790031433,0.41064177146879954,0.4318951463699341,0.021473067998886108,0.01916635513305664,0.47253456950187683
6100,337.39151406288147,0.2707449187011316,0.44557759881019593,0.021641823053359984,0.015298655033111572,0.4825180768966675
6200,341.04976511001587,0.5699186220894262,0.4417601656913757,0.021382988691329957,0.01606447696685791,0.4792076313495636
6300,344.4564211368561,0.3542117907274898,0.43303400635719297,0.020865392684936524,0.014854940176010132,0.46875433921813964
6400,348.0295989513397,0.2663412047642023,0.44481670975685117,0.020838876962661745,0.015688807964324952,0.4813443946838379
6500,351.35078287124634,0.3499279042508029,0.4393115234375,0.021888443231582642,0.01455479383468628,0.4757547605037689
6600,354.9996819496155,0.24842285117834761,0.44671475648880005,0.021985427141189576,0.015995163917541504,0.48469534754753113
6700,358.5598840713501,0.3770257741826208,0.4426850950717926,0.02152866005897522,0.01578795790672302,0.48000171303749084
6800,362.28538274765015,0.2703119068774322,0.4399985992908478,0.021386191844940186,0.016275300979614257,0.4776600921154022
6900,365.9389810562134,0.1884825684433872,0.444171644449234,0.02127140522003174,0.01558154821395874,0.4810245978832245
7000,369.16637682914734,0.30810012845298845,0.4393392300605774,0.021378469467163087,0.014110126495361329,0.4748278260231018
7100,372.677405834198,0.33248164900871413,0.4379990088939667,0.02146794080734253,0.015363107919692993,0.4748300576210022
7200,376.7292900085449,0.26309999870924,0.44380434036254884,0.021568748950958252,0.018287360668182373,0.48366044998168944
7300,380.07137393951416,0.24842553206529555,0.44373217940330506,0.02142742395401001,0.01466343641281128,0.47982303977012636
7400,383.32111501693726,0.060119826635188486,0.43974335193634034,0.021111941337585448,0.01428608775138855,0.47514138102531434
7500,386.63598108291626,0.365046079322005,0.4310200488567352,0.021420620679855347,0.014519904851913451,0.466960574388504
